8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
FORCE USA,F-RCGVB,Force USA Close Grip V Bar,STRENGTH,Attachments - Cable Attachments,C,21.6,20,20,3,17,0,0, $ -   ,26, $ 826 ,56.6%,0.8,31-Oct-2026,20,0,PO0033379,0.25,,,
REP,PRA-4012,REP Fitness Flat Sandwich J-Cups for PR-4000,STRENGTH,Rigs & Racks - Attachments,Obsolete,38.5,7,0,0,7,0,0, $ -   ,6, $ 822 ,36.0%,0.2,,,,,0.00,,,
X-Roar,F-CRD55-XROAR,X-ROAR Custom Commercial Round Dumbbells - 55kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 820 ,54.1%,0.1,,,,,0.00,,,
NIKE,DRDK-1006,Nike Hex Dumbbell - 6kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,1.4,1,0,0,1,0,0, $ -   ,23, $ 818 ,17.1%,0.7,,,,,0.00,,,
FORCE USA,PRA-5850-RIGHT,Rep Fitness ISO Arms,STRENGTH,Rigs & Racks - Attachments,C,792,24,0,0,24,0,0, $ -   ,1, $ 817 ,60.6%,0.0,,,,,0.00,,,
NIKE,DRCK-1002,Nike Strength Pro Urethane Dumbbell 2kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,20, $ 817 ,28.5%,0.6,,,,,0.00,,,
POWERBLOCK,503-00649-01,Powerblock Sport EXP Stage 3 Kit (70-90),STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,0,0,0,0,0,0,0, $ -   ,5, $ 805 ,28.5%,0.2,,,,,0.00,,,
CENTR,HEUKB32,Elite 15 Hyrox Octo-Kettlebell 32kg,FUNCTIONAL,Hyrox,Non-stocked,181.5,12,0,1,11,0,0, $ -   ,2, $ 798 ,51.9%,0.1,,,,,0.00,,,
PTP,CBPRO 75CM STEEL GREY,CORE BALL 75CM-STEEL GREY,FUNCTIONAL,Training Aids,Obsolete,0,2,0,2,0,1,0, $ -   ,20, $ 791 ,17.2%,0.6,,,,,0.25,,,
NIKE,DRCK-1034,Nike Strength Pro Urethane Dumbbell 34kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,99,12,0,0,12,0,0, $ -   ,4, $ 790 ,16.4%,0.1,,,,,0.00,,,
FORCE USA,F-CRD50,Force USA Commercial Round Dumbbells - 50kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,1,0, $ -   ,2, $ 787 ,57.5%,0.1,,,,,0.00,,,
X-Roar,F-CRD52.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 52.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 783 ,54.1%,0.1,,,,,0.00,,,
FORCE USA,F-G15-ALU,Force USA G15 Aluminium Pulley Upgrade,STRENGTH,Attachments - Cable Attachments,Obsolete,255.8,31,0,0,31,0,0, $ -   ,4, $ 765 ,30.5%,0.1,,,,,0.00,,,
FORCE USA,F-SB40,Force USA Elite Slam Ball 40kg,OTHER,Functional,Non-stocked,77,22,0,8,14,0,0, $ -   ,6, $ 763 ,50.7%,0.2,,,,,0.00,,,
REP,PR-5004-LPC-COMPACT,REP Fitness Compact Logo Plate for PR-5000 V2,STRENGTH,Rigs & Racks - Power Racks,C,0,7,33,7,0,4,0, $ -   ,4, $ 753 ,59.0%,0.1,15-Sep-2026,30,1,PO0033156,0.82,,,
FORCE USA,F-POWDERCHALK,Force USA Powder Weight Lifting Chalk - Block,FUNCTIONAL,Training Aids,C,0,0,0,0,0,3,0, $ -   ,35, $ 752 ,58.4%,1.1,,,,,0.00,,,
CENTR,HEPS,Elite 15 Hyrox Power Sled,FUNCTIONAL,Hyrox,Non-stocked,0,0,0,0,0,1,0, $ -   ,1, $ 750 ,52.0%,0.0,,,,,0.00,,,
FORCE USA,F-CRD47.5,Force USA Commercial Round Dumbbells - 47.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,1,0,0,1,0, $ -   ,2, $ 747 ,57.4%,0.1,28-Nov-2026,1,1,PO0033432,0.00,,,
NIKE,DRCK-1001,Nike Strength Pro Urethane Dumbbell 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,3,2,0,0,2,0,2, $ 20 ,22, $ 742 ,20.7%,0.7,,,,,0.00,,,
X-Roar,F-CRD50-XROAR,X-ROAR Custom Commercial Round Dumbbells - 50kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 742 ,53.8%,0.1,,,,,0.00,,,
CENTR,CFB,Centr Fabric Resistance Bands,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,1,0, $ -   ,42, $ 735 ,-7.1%,1.3,,,,,0.00,,,
CENTR,HWB2,CENTR x HYROX Wall Ball 2kg,FUNCTIONAL,Hyrox,C,117.9,30,25,5,25,0,1, $ 108 ,7, $ 726 ,48.9%,0.2,5-Oct-2026,20,0,PO0033370,0.00,,,
REP,PR-4002-UP-93-MBLK-TWO,"REP Fitness Two 93"" Black Uprights PR-4000",STRENGTH,Rigs & Racks - Attachments,C,297,18,0,0,18,0,0, $ -   ,2, $ 723 ,50.5%,0.1,,,,,0.00,,,
BLACKROLL,A003467,BLACKROLL Air Lounger,RECOVERY,Massage Tools,Obsolete,0,0,0,0,0,0,0, $ -   ,5, $ 723 ,25.9%,0.2,,,,,0.00,,,
FORCE USA,F-HYBRID-J-HOOKS,Force USA Hybrid J-Hook,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,74.3,18,0,0,18,0,0, $ -   ,8, $ 723 ,49.3%,0.2,,,,,0.08,,,
VERSAFIT,VF-CEP-BLACK-CORNER,Versafit - Connector Elite Zero Gap Corner - Black,FLOORING,Rubber Flooring - Commercial Flooring,C,50.5,155,100,5,150,0,0, $ -   ,98, $ 721 ,-87.0%,3.0,30-Sep-2026,100,0,PO0033285,-0.01,,,
NIKE,DRDK-1007,Nike Hex Dumbbell - 7kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,9.9,6,0,0,6,0,0, $ -   ,20, $ 720 ,11.7%,0.6,,,,,0.00,,,
X-Roar,F-CRD47.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 47.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 708 ,54.0%,0.1,,,,,0.00,,,
FORCE USA,F-CRD45,Force USA Commercial Round Dumbbells - 45kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 708 ,57.3%,0.1,,,,,0.00,,,
NIKE,PUBK-1005,Nike Strength Pro Urethane Bumper Plates - 5 KG,STRENGTH,Barbells & Weight Plates - Bumper Plates,Non-stocked,110,22,0,2,20,0,0, $ -   ,6, $ 706 ,42.3%,0.2,,,,,0.02,,,
NIKE,ZCAU-V199,Nike Barbell Collars - Volt / Black,STRENGTH,Barbells & Weight Plates - Barbell Collars,C,236.5,94,0,8,86,0,1, $ 72 ,12, $ 696 ,40.7%,0.4,,,,,0.02,,,
NIKE,DRDK-1022,Nike Hex Dumbbell - 22.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,61.9,15,0,0,15,0,0, $ -   ,8, $ 695 ,18.7%,0.2,,,,,0.00,,,
FORCE USA,F-SB7,Force USA Elite Slam Ball 7kg,FUNCTIONAL,Balls - Slam Balls,C,44.9,34,0,0,34,0,1, $ 31 ,25, $ 691 ,35.9%,0.8,,,,,0.08,,,
REP,BB-4600-2,REP Fitness Safety Squat Bar Pad,STRENGTH,Barbells & Weight Plates - Speciality Barbells,C,18.9,8,0,0,8,0,1, $ 100 ,14, $ 691 ,31.8%,0.4,,,,,0.11,,,
REP,PRA-4700-93,"REP Fitness Plate-Loaded Lat Pulldown & Low Row PR-4000 93""",STRENGTH,Rigs & Racks - Attachments,Obsolete,297,10,0,1,9,0,0, $ -   ,1, $ 689 ,49.6%,0.0,,,,,0.00,,,
CENTR,CFK,Centr Fitness Kit,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,16, $ 683 ,-19.5%,0.5,,,,,0.00,,,
FORCE USA,F-RIG-4FTMB,4FT Single Monkey Bar - Lasercut,STRENGTH,Rigs & Racks - Rigs,Obsolete,0,0,0,0,0,0,0, $ -   ,13, $ 679 ,47.2%,0.4,,,,,0.00,,,
PUNCH EQUIPMENT,PBBREFILLB04,Boxing Bag - Trophy Getters Refillable - 6ft - Black,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,2, $ 677 ,28.7%,0.1,,,,,0.00,,,
NIKE,DGHK-1101,Nike Hex Grind Dumbbell 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,0.6,26,120,24,2,0,2, $ 18 ,111, $ 676 ,-56.6%,3.4,30-Sep-2026,40,0,PO0033075,-0.19,,,
X-Roar,F-CRD45-XROAR,X-ROAR Custom Commercial Round Dumbbells - 45kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 669 ,53.9%,0.1,,,,,0.00,,,
FORCE USA,F-CRD42.5,Force USA Commercial Round Dumbbells - 42.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,1,0,0,1,0, $ -   ,2, $ 669 ,57.2%,0.1,28-Nov-2026,1,1,PO0033432,0.00,,,
REP,PRA-4500,REP Fitness Multi-Grip Pull Up Bar PR-4000,STRENGTH,Rigs & Racks - Attachments,Obsolete,49.5,6,0,0,6,0,0, $ -   ,4, $ 665 ,53.6%,0.1,,,,,0.00,,,
REP,PRA-5702-80,"REP Fitness Plate-Loaded Lat Pulldown & Low Row PR-5000 80""",STRENGTH,Rigs & Racks - Attachments,Obsolete,198,6,0,0,6,0,0, $ -   ,1, $ 660 ,41.3%,0.0,,,,,0.00,,,
FORCE USA,F-DCC,Force USA Dual Cable Connector,STRENGTH,Attachments - Cable Attachments,C,0,0,65,0,0,16,0, $ -   ,50, $ 640 ,50.8%,1.5,30-Sep-2026,15,15,PO0033157,0.00,,,
PUNCH EQUIPMENT,PBBREFILLB5FTV30,Boxing Bag - Trophy Getters Refillable - 5ft - Black,CARDIO,Boxing,Obsolete,0,0,0,0,0,0,0, $ -   ,2, $ 640 ,38.6%,0.1,,,,,0.00,,,
S30,S30-RHD30,S30 Rubber Hex Dumbbells - 30kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,60.5,22,0,0,22,0,0, $ -   ,12, $ 636 ,-7.0%,0.4,,,,,0.00,,,
FORCE USA,RHD60,Force USA Rubber Hex Dumbbells - 60kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,99,6,0,0,6,0,0, $ -   ,2, $ 636 ,56.8%,0.1,,,,,0.00,,,
X-Roar,F-CRD42.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 42.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 633 ,53.9%,0.1,,,,,0.00,,,
FORCE USA,F-CRD40,Force USA Commercial Round Dumbbells - 40kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,1,0, $ -   ,2, $ 629 ,57.1%,0.1,,,,,0.00,,,
S30,S30-RHD40,S30 Rubber Hex Dumbbells - 40kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,132,40,0,0,40,0,0, $ -   ,10, $ 626 ,-19.2%,0.3,,,,,0.00,,,
CENTR,CRK 1.1,Centr Recovery Kit,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,16, $ 622 ,-11.4%,0.5,,,,,0.00,,,
FORCE USA,F-SHD7.5,Force USA Straight Handle Hex Dumbbell - 7.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,12, $ 206 ,26, $ 620 ,45.2%,0.8,,,,,0.00,,,
FORCE USA,F-G3-V2-ALU,Force USA G3 Aluminium Pulley Upgrade,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,3, $ 619 ,66.8%,0.1,,,,,0.00,,,
REP,PRA-FT-ARES-02-UPGRADE(PRA-FT-40-STACK),REP Fitness Ares 2.0 - Weight Stack Upgrade(PRA-FT-40-STACK),,,C,99,18,1,3,15,1,0, $ -   ,5, $ 616 ,100.0%,0.2,,,,,0.00,,,
REP,BA-5010-CABLE,"Leg Extension and Leg Curl Attachment, Cable Kit",STRENGTH,Benches - Adjustable,C,49.5,12,30,0,12,0,1, $ 95 ,8, $ 615 ,54.5%,0.2,15-Sep-2026,30,0,PO0033156,0.02,,,
NIKE,DRCK-1024,Nike Strength Pro Urethane Dumbbell 24kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,99,12,0,0,12,0,0, $ -   ,4, $ 609 ,15.3%,0.1,,,,,0.00,,,
NIKE,DRCK-1026,Nike Strength Pro Urethane Dumbbell 26kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,99,12,0,0,12,0,0, $ -   ,4, $ 604 ,9.8%,0.1,,,,,0.00,,,
NIKE,DRDK-1005,Nike Hex Dumbbell - 5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,1.5,1,0,0,1,0,0, $ -   ,22, $ 601 ,5.3%,0.7,,,,,-0.08,,,
NIKE,DRCK-1008,Nike Strength Pro Urethane Dumbbell 8kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,39.6,12,0,0,12,0,0, $ -   ,10, $ 600 ,12.4%,0.3,,,,,0.05,,,
X-Roar,F-CRD40-XROAR,X-ROAR Custom Commercial Round Dumbbells - 40kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 596 ,53.9%,0.1,,,,,0.00,,,
NIKE,DRCK-1004,Nike Strength Pro Urethane Dumbbell 4kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,24.8,12,0,0,12,0,0, $ -   ,16, $ 596 ,4.5%,0.5,,,,,0.00,,,
FORCE USA,F-SISSYSQUAT,Force USA Sissy Squat,STRENGTH,Single Stations - Lower Body,C,2062.5,125,0,0,125,0,0, $ -   ,2, $ 590 ,57.3%,0.1,,,,,0.00,,,
FORCE USA,F-CRD37.5,Force USA Commercial Round Dumbbells - 37.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 590 ,57.1%,0.1,,,,,0.00,,,
FORCE USA,F-MR-PEG,Force USA - MyRack Band Pegs (4),STRENGTH,Rigs & Racks - Attachments,Obsolete,4.7,5,0,1,4,0,0, $ -   ,28, $ 579 ,52.1%,0.8,,,,,0.58,,,
FORCE USA,F-RIG-9FTU,9FT Upright - Lasercut Holes & Numbers,STRENGTH,Rigs & Racks - Rigs,Obsolete,0,2,0,2,0,0,0, $ -   ,4, $ 578 ,60.1%,0.1,,,,,0.00,,,
S30,S30-RHD12.5,S30 Rubber Hex Dumbbells - 12.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,0, $ -   ,24, $ 575 ,-4.3%,0.7,,,,,0.00,,,
TORQUE USA,XTSA-101,TANKâ„¢ SWIVEL ATTACHMENT FOR M4/MX,FUNCTIONAL,Sleds,Obsolete,55,5,0,0,5,0,0, $ -   ,3, $ 570 ,35.5%,0.1,,,,,0.22,,,
REP,PRA-FT-DUAL-02-GR-80,"PRA-FT-DUAL-02-GR-80(Ares 2.0 Guide Rod Package - 80"")",,,C,27.5,8,0,3,5,0,0, $ -   ,6, $ 570 ,14.8%,0.2,,,,,0.10,,,
REP,PR-4002-UP-80-MBLK-TWO,"REP Fitness Two 80"" Black Uprights PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,66,7,0,3,4,0,0, $ -   ,2, $ 565 ,38.4%,0.1,,,,,0.00,,,
X-Roar,F-CRD37.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 37.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 560 ,53.9%,0.1,,,,,0.00,,,
NIKE,DRCK-1028,Nike Strength Pro Urethane Dumbbell 28kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,82.5,10,0,0,10,0,0, $ -   ,4, $ 557 ,-1.3%,0.1,,,,,0.00,,,
FORCE USA,F-CRD35,Force USA Commercial Round Dumbbells - 35kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 551 ,57.0%,0.1,,,,,0.00,,,
IMPULSE,IFP1619-WX,Impulse IFP1619 Reverse Hyperextension,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,1, $ 550 ,39.2%,0.0,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-4-93-S,"PRA-FT-DUALCABLE-02-4-93-S(Ares 2.0 Cable Package - 93"" - 16"" - 4)",,,C,165,17,0,2,15,0,0, $ -   ,3, $ 539 ,51.6%,0.1,,,,,0.00,,,
REP,PRA-4300,REP Fitness Landmine Attachment PR-4000,STRENGTH,Rigs & Racks - Attachments,Obsolete,39.6,6,0,0,6,0,0, $ -   ,5, $ 535 ,78.0%,0.2,,,,,0.83,,,
REP,BB-5110,"Alpine Weightlifting Bar, 15kg, Hard Chrome",STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,627,19,0,0,19,0,0, $ -   ,1, $ 531 ,62.5%,0.0,,,,,0.00,,,
NIKE,DRCK-1005,Nike Strength Pro Urethane Dumbbell 5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,27.5,10,0,0,10,0,0, $ -   ,12, $ 529 ,7.9%,0.4,,,,,0.00,,,
CENTR,HUOKB28,CENTR x HYROX Competition Octo Kettlebell 28kg,FUNCTIONAL,Hyrox,Non-stocked,0,2,13,2,0,0,0, $ -   ,2, $ 529 ,53.5%,0.1,05-Oct-2026,8,0,PO0033370,0.00,,,
NIKE,DRDK-1004,Nike Hex Dumbbell - 4kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,24, $ 528 ,4.3%,0.7,,,,,-0.14,,,
X-Roar,F-CRD35-XROAR,X-ROAR Custom Commercial Round Dumbbells - 35kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 524 ,53.9%,0.1,,,,,0.00,,,
X-Roar,F-CRD32.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 32.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 520 ,56.8%,0.1,,,,,0.00,,,
PTP,CBPRO 55CM PEARL VIOLET,PTP Core Ball 55cm-Pearl Violet,FUNCTIONAL,Training Aids,Obsolete,0,1,0,1,0,0,0, $ -   ,16, $ 514 ,15.0%,0.5,,,,,0.03,,,
FORCE USA,F-CRD32.5,Force USA Commercial Round Dumbbells - 32.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 511 ,56.8%,0.1,,,,,0.00,,,
FORCE USA,F-MR-CHIN03,Force USA MyRack Chin Up Option 03 - Multi Grip Bar,STRENGTH,Rigs & Racks - Attachments,Obsolete,5.5,1,0,0,1,0,0, $ -   ,6, $ 510 ,45.8%,0.2,,,,,0.00,,,
S30,S30-RHD20,S30 Rubber Hex Dumbbells - 20kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,35.4,15,0,0,15,0,0, $ -   ,14, $ 508 ,-8.0%,0.4,,,,,-0.01,,,
REP,PRA-FT-DUALCABLE-02-6-9330-S,"PRA-FT-DUALCABLE-02-6-9330-S(Ares 2.0 Cable Package - 93"" - 30"" - 6)",,,C,8.3,6,1,4,2,0,0, $ -   ,8, $ 506 ,-8.9%,0.2,24-Apr-2026,0,0,PO0033043,0.27,,,
TORQUE USA,XTPT-101,TANKâ„¢ POWER TETHER,FUNCTIONAL,Sleds,Obsolete,85.8,13,0,0,13,0,0, $ -   ,5, $ 503 ,27.5%,0.2,,,,,0.08,,,
MORGAN SPORTS,CF-62-3TIER,3 TIER ELITE KETTLEBELL RACK,,,Obsolete,0,0,0,0,0,0,0, $ -   ,1, $ 500 ,26.8%,0.0,,,,,0.00,,,
FORCE USA,F-WBT,Force USA Wall Ball Target,STRENGTH,Rigs & Racks - Attachments,C,297,27,0,0,27,0,0, $ -   ,3, $ 488 ,74.8%,0.1,,,,,0.00,,,
MORGAN SPORTS,BP-TROLLEY,Morgan Bumper Plate Rack Trolley,,,Obsolete,0,0,0,0,0,1,0, $ -   ,2, $ 485 ,48.2%,0.1,,,,,0.00,,,
FORCE USA,F-BW-STRAP,Force USA Bodyweight assisted strap,STRENGTH,Attachments - Cable Attachments,C,40.5,28,10,1,27,0,0, $ -   ,22, $ 484 ,63.7%,0.7,15-Dec-2026,10,0,PO0033381,0.45,,,
NIKE,PCAK-2052,Nike Change Plates 2.5KG,STRENGTH,Barbells & Weight Plates - Weight Plates,Non-stocked,0,4,0,4,0,6,0, $ -   ,16, $ 483 ,27.9%,0.5,,,,,0.60,,,
RPM,SR104-BBL,RPM Session4 - Breakfast Blue,FUNCTIONAL,Ropes - Skipping Ropes,Obsolete,19.8,3,0,0,3,0,0, $ -   ,5, $ 480 ,34.5%,0.2,,,,,0.00,,,
RPM,SR104-STB,Session4 - Steel Blue,FUNCTIONAL,Ropes - Skipping Ropes,Obsolete,13.2,2,0,0,2,0,0, $ -   ,5, $ 480 ,45.3%,0.2,,,,,0.00,,,
X-Roar,F-CRD30-XROAR,X-ROAR Custom Commercial Round Dumbbells - 30kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 480 ,56.7%,0.1,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-6-8030-S,"PRA-FT-DUALCABLE-02-6-8030-S(Ares 2.0 Cable Package - 80"" - 30"" - 6)",,,C,55,11,0,1,10,0,0, $ -   ,6, $ 478 ,69.8%,0.2,,,,,-0.42,,,
FORCE USA,F-CRD30,Force USA Commercial Round Dumbbells - 30kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 472 ,56.6%,0.1,,,,,0.00,,,
REP,FTA-5090-PS,REP Fitness Cable Attachment - D Cable Handle - Pro Style,STRENGTH,Attachments - Cable Attachments,C,11,3,5,0,3,0,0, $ -   ,9, $ 470 ,41.2%,0.3,15-Sep-2026,5,0,PO0033156,0.00,,,
FORCE USA,F-RIG-6FTMB,6FT Single Monkey Bars - Lasercut,STRENGTH,Rigs & Racks - Rigs,Obsolete,144.4,36,0,1,35,0,0, $ -   ,8, $ 462 ,54.4%,0.2,,,,,0.04,,,
FORCE USA,F-RIG-4FTBOX,4FT Box Safety (Pair) - Lasercut,STRENGTH,Rigs & Racks - Attachments,Obsolete,495,46,0,1,45,0,0, $ -   ,3, $ 459 ,63.3%,0.1,,,,,0.00,,,
FORCE USA,PRA-5850-LEFT,Rep Fitness ISO Arms,STRENGTH,Rigs & Racks - Attachments,C,792,24,0,0,24,0,0, $ -   ,1, $ 455 ,29.1%,0.0,,,,,0.00,,,
FORCE USA,F-YOGAMAT-HANGER,Force USA Yoga Mat Hanger,FUNCTIONAL,Training Aids,C,0,0,100,0,0,6,0, $ -   ,8, $ 453 ,77.7%,0.2,28-Aug-2026,100,6,PO0033158,0.00,,,
FORCE USA,F-RIG-4CM,Force USA 4ft Crossmember,STRENGTH,Rigs & Racks - Rigs,C,66,30,0,6,24,0,0, $ -   ,12, $ 448 ,5.1%,0.4,,,,,-0.08,,,
CENTR,PUH,Centr Push Up Handles (Pair),STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,30, $ 446 ,-26.1%,0.9,,,,,0.00,,,
CENTR,BWTS,Centr Bodyweight Training Straps (Pair),FUNCTIONAL,Training Aids,Obsolete,62.7,19,0,0,19,0,0, $ -   ,10, $ 445 ,29.8%,0.3,,,,,0.00,,,
NIKE,THFS-1199,Nike Half Rack Storage Shelf,STRENGTH,Rigs & Racks - Power Racks,C,346.5,21,0,0,21,0,0, $ -   ,2, $ 445 ,52.0%,0.1,,,,,0.00,,,
PTP,XL WORKOUT MAT 10MM,PTP XL WORKOUT MAT 10MM,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,13, $ 444 ,20.2%,0.4,,,,,0.00,,,
REP,PR-2000-03,Altitude Series Rack - Base Box 1,,,C,462,28,0,0,28,0,2, $ 444 ,2, $ 444 ,-18.1%,0.1,,,,,0.00,,,
NIKE,DRDK-1002,Nike Hex Dumbbell - 2kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,0,0,0,0,0,0,0, $ -   ,24, $ 439 ,21.0%,0.7,,,,,0.00,,,
FORCE USA,F-CRD27.5,Force USA Commercial Round Dumbbells - 27.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 433 ,56.5%,0.1,,,,,0.00,,,
FORCE USA,F-ANKLECUFF-2,Force USA Ankle Cuffs (Pair),STRENGTH,Attachments - Cable Attachments,C,5.5,7,10,0,7,0,0, $ -   ,42, $ 432 ,38.8%,1.3,15-Dec-2026,10,0,PO0033381,0.50,,,
FORCE USA,F-FT-ALU,Force USA Functional Trainer Aluminium Pulley Upgrade,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,473,43,0,0,43,0,0, $ -   ,3, $ 428 ,44.3%,0.1,,,,,0.06,,,
REP,PRA-5102-30,"REP Fitness 30"" Pin-Pipe Safeties PR-5000",STRENGTH,Rigs & Racks - Attachments,C,123.8,15,0,0,15,0,0, $ -   ,4, $ 424 ,50.9%,0.1,,,,,0.00,,,
FORCE USA,F-SB30,Force USA Elite Slam Ball 30kg,FUNCTIONAL,Balls - Slam Balls,C,478.5,60,0,2,58,0,0, $ -   ,4, $ 416 ,38.6%,0.1,,,,,0.00,,,
NIKE,DRCK-1009,Nike Strength Pro Urethane Dumbbell 9kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,110,20,0,0,20,0,0, $ -   ,6, $ 415 ,19.0%,0.2,,,,,0.00,,,
FORCE USA,F-RIG-6PU,Force USA 6ft Pull Up Bar,STRENGTH,Rigs & Racks - Rigs,C,231,86,0,9,77,0,0, $ -   ,11, $ 415 ,9.8%,0.3,,,,,-0.02,,,
X-Roar,F-CRD27.5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 27.5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 415 ,54.0%,0.1,,,,,0.00,,,
POWERBLOCK,501-00098-01,Elite EXP Stage 3,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,C,0,0,20,0,0,4,0, $ -   ,2, $ 413 ,-226.5%,0.1,4-Sep-2026,20,5,PO0033284,0.00,,,
CENTR,CDMPU,Centr Pull Up Bar,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,14, $ 408 ,-28.8%,0.4,,,,,0.00,,,
